Ingrident_id,ingridents
1,green asparagus
2,lemongrass
3,roses
4,asparagus
5,lavash
6,kabuli chana (white chick peas)
7,grated raw mango
8,turmeric powder (haldi)
9,fenugreek (methi) seeds
10,fenugreek seeds (methi) powder
11,fennel seeds (saunf)
12,asafoetida (hing)
13,nigella seeds (kalonji)
14,whole dry kashmiri red chillies
15,chilli powder
16,mustard (rai / sarson) oil
17,salt
18,raw mangoes
19,split fenugreek seeds (methi na kuria)
20,split mustard seeds (rai na kuria)
21,raw mango cubes
22,sugar
23,mint leaves (phudina)
24,crushed ice
25,mango cubes
26,oil
27,besan (bengal gram flour)
28,rice flour (chawal ka atta)
29,carom seeds (ajwain)
30,chopped raw mango
31,Sambhaar
32,peeled and sliced almonds
33,poppy seeds (khus-khus)
34,coriander (dhania) powder
35,curds (dahi)
36,chopped mint leaves (phudina)
37,ice-cubes
38,grated raw mangoes
39,cumin seeds (jeera)
40,chopped onions
41,chopped green chillies
42,grated ginger (adrak)
43,mashed potatoes
44,boiled green peas
45,chaat masala
46,garam masala
47,chopped coriander (dhania)
48,onion rings
49,rotis
50,sliced ladies finger (bhindi)
51,mustard seeds ( rai / sarson)
52,chopped ginger (adrak)
53,chopped tomatoes
54,whisked curds (dahi)
55,coriander-cumin seeds (dhania-jeera) powder
56,green chilli pickle
57,hung curds (chakka dahi)
58,chopped garlic (lehsun)
59,paneer (cottage cheese) cubes
60,crumbled paneer (cottage cheese)
61,samosa pattis
62,powdered sugar
63,khakhras
64,ginger-garlic (adrak-lehsun) paste
65,"brinjals (baingan / eggplant) ,  cut into 1"" cubes"
66,sliced onions
67,punjabi garam masala
68,dried mango powder (amchur)
69,cream
70,aam ka achaar
71,boiled kabuli chana (white chick peas)
72,long grained rice (basmati)
73,ghee
74,black cardamom (badi elaichi)
75,black salt (sanchal)
76,plain flour (maida)
77,rice (chawal)
78,cinnamon (dalchini) sticks
79,cloves (laung / lavang)
80,caraway seeds (shahjeera)
81,cardamoms
82,broken wheat (dalia)
83,green moong dal (split  green gram)
84,masoor dal (split red lentil)
85,urad dal (split black lentils)
86,ginger-green chilli paste
87,chopped curry leaves (kadi patta)
88,par-boiled rice (ukda chawal)
89,toovar (arhar) dal
90,chana dal (split bengal gram)
91,red chillies
92,black peppercorns (kalimirch)
93,grated coconut
94,coconut oil
95,coconut chutney
96,grated carrot
97,chopped cabbage
98,ginger (adrak) juice
99,sugarcane juice
100,lemon
101,vanilla ice-cream
102,instant coffee powder
103,brandy
104,cinnamon (dalchini)  powder
105,melon seeds (charmagaz)
106,cashewnuts (kaju)
107,fresh cream
108,milk
109,butter
110,white pepper powder
111,green chilli paste
112,peppercorns (kalimirch)
113,green chillies
114,water
115,whole wheat flour (gehun ka atta)
116,curd
117,walnuts (akhrot)
118,powdered cashewnuts (kaju)
119,grated dark chocolate
120,"walnuts (akhrot),"
121,powdered walnuts (akhrot)
122,broken cashewnuts (kaju)
123,pistachio slivers
124,crushed cumin seeds (jeera)
125,boiled chawli (cow pea / lobhia)
126,ginger (adrak) paste
127,garlic (lehsun) paste
128,alfalfa sprouts
129,whole wheat footlong bread
130,yellow capsicum
131,red capsicum
132,capsicum
133,olive oil
134,tomato slices
135,sliced black olives
136,dried oregano
137,freshly ground black pepper (kalimirch)
138,grated mozzarella cheese
139,vinegar
140,mayonnaise
141,chopped basil
142,whole wheat bread slices
143,iceberg lettuce leaves
144,garden cress seeds
145,chopped red capsicum
146,chopped yellow capsicum
147,carrot
148,chopped spring onions whites
149,paneer (cottage cheese)
150,orange juice
151,pineapple juice
152,lemonade
153,drumsticks
154,baby corn
155,yam (suran)
156,almond bread slices
157,avocado slices
158,sea salt
159,powdered almonds (badam)
160,chopped apples
161,lemon juice
162,orange marmalade
163,biscuit crumbs
164,beaten whipped cream
165,blanched and de-skinned almonds (badam)
166,chopped bananas
167,vanilla essence
168,almonds (badam)
169,honey
170,vanilla extract
171,pumpkin seeds
172,sunflower seeds (surajmukhi ke beej)
173,almond (badam) slivers
174,frozen blueberries
175,vertically sliced almonds (badam)
176,cooked long grained rice
177,cinnamon (dalchini)
178,bayleaf (tejpatta)
179,chopped and boiled french beans
180,biryani masala
181,fried onions
182,fried almonds (badam)
183,cocoa powder
184,baking powder
185,castor sugar
186,eggs
187,soft butter
188,almond milk
189,powdered flaxseeds
190,apple cider vinegar
191,chopped almonds (badam)
192,grated dry coconut (kopra)
193,crushed quick cooking rolled oats
194,cinnamon (dalchini) powder
195,peanut butter
196,almond butter cookies
197,coffee powder
198,grated chocolate
199,ground flax seeds  (alsi)
200,flax seeds  (alsi)
201,baking soda
202,apple cider
203,organic honey
204,sliced strawberries
205,canned pineapple
206,canned lychees
207,orange segments
208,agar-agar
209,almond essence
210,blanched almonds (badam)
211,cardamom (elaichi) powder
212,nutmeg (jaiphal)
213,saffron (kesar) strands 
214,roasted almonds (badam)
215,rolling board
216,rolling pin
217,knife
218,vanilla cake
219,sugar syrup
220,plain butter cream icing
221,pastry comb
222,butter cream icing
223,praline triangles
224,crushed praline
225,piping bag
226,turntable
227,chocolate
228,saffron (kesar) strands
229,white stock
230,icing sugar
231,strawberries
